Brand_Acc,createddate,salesid,subtotal,totaldiscount,osschannelid,dwinf_salesactivity,dataareaid,Transaction_ID,Medium,Date,Product_Revenue
B000800146,14NOV2018:00:00:00.000,SO02533481,119.99,134.98,Web,RECR,au,o1266634533,organic,14/11/2018,$228.66
B000477070,15NOV2018:00:00:00.000,SO02534485,179.88,159.87,Web,MM,au,o1483772807,organic,15/11/2018,$342.80
B000854449,16NOV2018:00:00:00.000,SO02536670,139.99,139.99,Web,RECR,au,o1588288334,organic,17/11/2018,$266.78
B000854665,17NOV2018:00:00:00.000,SO02537069,139.99,119.99,Web,RECR,au,o1589756536,organic,17/11/2018,$266.78
B000647304,18NOV2018:00:00:00.000,SO02537369,551.64,551.64,Web,MM,au,o884115531,organic,18/11/2018,"$1,051.25"
B000827555,19NOV2018:00:00:00.000,SO02538589,119.99,132.98,Web,RECR,au,o1309427506,organic,19/11/2018,$228.66
B000809090,19NOV2018:00:00:00.000,SO02539076,205.88,190.87,Web,MM,au,o1102693267,organic,19/11/2018,$392.34
B000525975,20NOV2018:00:00:00.000,SO02539583,311.76,311.76,Web,WEB,au,o844245526,organic,20/11/2018,$594.12
B000631966,20NOV2018:00:00:00.000,SO02540456,149.99,159.98,Web,RECR,au,o1031396067,organic,20/11/2018,$285.83
B000856057,20NOV2018:00:00:00.000,SO02540541,139.99,119.99,Web,RECR,au,o1603969062,organic,20/11/2018,$266.78
B000800718,21NOV2018:00:00:00.000,SO02541600,539.64,539.64,Web,MM,au,o1278200457,organic,21/11/2018,"$1,028.39"
B000075779,22NOV2018:00:00:00.000,SO02543199,159.99,159.99,Web,MM,au,o1612877300,organic,22/11/2018,$304.89
B000075779,22NOV2018:00:00:00.000,SO02543241,199.98,199.98,Web,MM,au,o1014637102,organic,22/11/2018,$381.10
B000075779,22NOV2018:00:00:00.000,SO02543263,179.88,179.88,Web,MM,au,o1612879642,organic,22/11/2018,$342.80
