Transaction ID,Medium,Date,Product Revenue
o391334528,organic,24/02/2017,$514.08 
o430038821,organic,8/09/2017,$508.48 
o335938621,organic,7/09/2017,$497.04 
o458405456,organic,23/11/2017,$493.29 
o584895621,organic,12/10/2017,$493.04 
o1049660412,organic,24/06/2018,$485.95 
o155621629,organic,26/01/2018,$485.61 
o479616021,organic,4/10/2017,$485.61 
o824199886,organic,23/04/2018,$485.32 
o482197494,organic,17/08/2018,$479.95 
o972608834,organic,29/05/2018,$474.06 
o259868490,organic,9/12/2017,$470.71 
o446463948,organic,28/07/2017,$466.74 
o663904527,organic,12/04/2018,$457.14 
o1177073859,organic,7/08/2018,$457.14 
o632176632,organic,14/05/2018,$457.14 
o1045275475,organic,22/06/2018,$457.14 
o519611826,organic,7/03/2018,$457.14 
o1056490138,organic,26/06/2018,$457.14 
o336914082,organic,21/04/2017,$457.08 
o209755315,organic,14/03/2018,$457.08 
o344686254,organic,20/05/2017,$453.31 
o401481441,organic,28/04/2017,$451.36 
o299704612,organic,10/10/2017,$447.53 
o556633230,organic,9/09/2017,$446.85 
o962096568,organic,22/05/2018,$441.89 
o445855354,organic,30/06/2017,$437.36 
o569706529,organic,22/10/2017,$435.56 
o570732903,organic,27/09/2017,$434.27 
o438529177,organic,18/05/2017,$434.27 
o271526399,organic,4/07/2017,$434.27 
o646294920,organic,23/01/2018,$434.27 
o923598269,organic,6/05/2018,$434.27 
o438212231,organic,26/05/2017,$434.27 
o1246778929,organic,27/08/2018,$430.84 
o752503579,organic,7/04/2018,$428.49 
o838644935,organic,24/03/2018,$427.64 
o564793111,organic,19/09/2017,$427.64 
o529112419,organic,25/10/2017,$427.54 
o393653239,organic,9/09/2017,$426.99 
o622007273,organic,3/01/2018,$422.78 
o431744908,organic,12/07/2017,$418.98 
o483508181,organic,12/07/2017,$413.06 
o466473691,organic,30/07/2017,$411.40 
o1005174778,organic,23/06/2018,$411.34 
o673994596,organic,26/05/2018,$408.48 
o433868133,organic,6/06/2017,$406.14 
o768584237,organic,22/07/2018,$399.97 
o232769034,organic,10/04/2018,$399.91 
o675773205,organic,29/04/2018,$399.91 
o428204251,organic,21/04/2017,$399.91 
o587710381,organic,14/09/2018,$396.08 
o582725785,organic,4/01/2018,$394.19 
o1102693267,organic,19/11/2018,$392.34 
o762535198,organic,8/02/2018,$388.53 
o269569124,organic,1/11/2017,$388.53 
o1361006545,organic,26/09/2018,$388.53 
o499136386,organic,25/07/2017,$388.53 
o536506984,organic,29/04/2018,$388.53 
o1271660903,organic,18/09/2018,$388.53 
o543680889,organic,22/05/2018,$388.53 
o837383726,organic,13/07/2018,$388.53 
o928461487,organic,31/08/2018,$388.53 
o497087745,organic,18/09/2017,$388.53 
o422216781,organic,12/05/2017,$381.12 
o1014637102,organic,22/11/2018,$381.10 
o108635387,organic,7/07/2017,$375 
o324102131,organic,28/08/2018,$374.45 
o759011471,organic,6/03/2018,$371.32 
o463868785,organic,18/10/2017,$371.32 
o555209982,organic,8/09/2017,$371.32 
o538806617,organic,4/02/2018,$371.32 
o720747460,organic,12/03/2018,$371.32 
o615559191,organic,5/11/2017,$371.32 
o1296763722,organic,14/10/2018,$369.32 
o353398142,organic,31/05/2017,$365.66 
o447032299,organic,3/09/2017,$365.66 
o522256358,organic,14/08/2017,$365.66 
o737137019,organic,10/08/2018,$365.66 
o421161590,organic,6/06/2017,$365.66 
o1019334146,organic,13/06/2018,$365.66 
o1298166607,organic,11/09/2018,$359.49 
